searge,name,side,desc
field_111264_e,attackDamage,2,
field_111265_b,followRange,2,
field_111266_c,knockbackResistance,2,
field_111267_a,maxHealth,2,
field_111273_g,locationFontTexture,2,
field_111274_c,unicodePageLocations,2,
field_130023_H,minecraftRealmsButton,2,
field_130070_K,fileResourcepacks,2,
field_130074_a,joinerResourcePacks,2,
field_130076_a,simpleReloadableResourceManager,2,
field_130089_b,mapResourceLocations,2,
field_130222_e,rotated,2,
field_130223_c,width,2,
field_130224_d,height,2,
field_135010_a,repairContainer,2,
field_135017_as,mcLanguageManager,2,
field_135019_a,languages,2,
field_135030_b,splitter,2,"Splits on ""="""
field_135036_d,bidirectional,2,
field_135037_b,region,2,
field_135038_c,name,2,
field_135039_a,languageCode,2,
field_135046_d,languageMap,2,
field_135047_b,metadataSerializer,2,
field_135048_c,currentLanguage,2,
field_135049_a,currentLocale,2,
field_135054_a,i18nLocale,2,
field_135057_d,setResourceDomains,2,
field_135059_Q,animalSpawner,2,
field_135061_b,textureManager,2,
field_135062_a,textureObject,2,
field_135065_b,equalSignSplitter,2,"A Splitter that splits a string on the first ""="".  For example, ""a=b=c"" would split into [""a"", ""b=c""]."
field_135068_e,repairContainer,2,
field_142016_bo,lastAttackerTime,2,Holds the value of ticksExisted when setLastAttacker was last called.
field_142025_a,isRunningOnMac,2,
field_142027_a,worldClient,2,
field_142029_a,worldClient,2,
field_145803_d,logger,2,
field_145804_b,delayBeforeCanPickup,2,
field_145846_f,tileEntityInvalid,2,
field_145847_g,blockMetadata,2,
field_145850_b,worldObj,2,the instance of the world the tile entity is in.
field_145852_a,logger,2,
field_145853_j,classToNameMap,2,A HashMap storing the classes and mapping to the string names (reverse of nameToClassMap).
field_145854_h,blockType,2,the Block type that this TileEntity is contained within
field_145855_i,nameToClassMap,2,A HashMap storing string names of classes mapping to the actual java.lang.Class type.
field_146124_l,enabled,2,
field_146126_j,displayString,2,The string displayed on this control.
field_146127_k,id,2,
field_146139_o,logger,2,
field_146249_a,logger,2,
field_146287_f,eventButton,2,
field_146288_g,lastMouseEvent,2,
field_146289_q,fontRendererObj,2,The FontRenderer used by GuiScreen
field_146290_a,selectedButton,2,The button that was just pressed.
field_146292_n,buttonList,2,A list of all the buttons in this container.
field_146293_o,labelList,2,A list of all the labels in this container.
field_146294_l,width,2,The width of the screen object.
field_146295_m,height,2,The height of the screen object.
field_146296_j,itemRender,2,"Holds a instance of RenderItem, used to draw the achievement icons on screen (is based on ItemStack)"
field_146297_k,mc,2,Reference to the Minecraft object.
field_146349_a,logger,2,
field_146370_f,logger,2,
field_146408_f,logger,2,
field_146473_a,logger,2,
field_146580_a,logger,2,
field_146629_g,logger,2,
field_146695_f,logger,2,
field_146729_f,logger,2,
field_146748_a,logger,2,
field_146765_a,logger,2,
field_146773_a,logger,2,
field_146786_a,logger,2,
field_146802_a,logger,2,
field_146819_a,logger,2,
field_146841_f,logger,2,
field_146862_a,logger,2,
field_146889_a,logger,2,
field_146928_a,logger,2,
field_146953_f,logger,2,
field_146968_a,logger,2,
field_146974_g,logger,2,
field_147026_u,logger,2,
field_147039_u,logger,2,
field_147102_bM,logger,2,
field_147123_G,logger,2,
field_147124_at,mcFramebuffer,2,
field_147125_j,pointedEntity,2,
field_147126_aw,mcMusicTicker,2,
field_147127_av,mcSoundHandler,2,
field_147128_au,textureMapBlocks,2,
field_147129_ai,jvm64bit,2,
field_147145_h,logger,2,
field_147148_h,logger,2,
field_147150_a,logger,2,
field_147166_l,categoryName,2,
field_147167_m,categoryId,2,
field_147174_a,uuidPattern,2,"Matches a UUID string, such as ""b2a72a80-d078-4ea4-ae43-fcaf95707a76"".  Will not match UUIDs containing upper-case letters."
field_147175_a,logger,2,
field_147208_a,logger,2,
field_147228_b,logger,2,
field_147299_f,gameController,2,"Reference to the Minecraft instance, which many handler methods operate on"
field_147300_g,clientWorldController,2,"Reference to the current ClientWorld instance, which many handler methods operate on"
field_147301_d,logger,2,
field_147302_e,netManager,2,The NetworkManager instance used to communicate with the server (used only by handlePlayerPosLook to update positioning and handleJoinGame to inform the server of the client distribution/mods)
field_147303_b,playerInfoList,2,An ArrayList of GuiPlayerInfo (includes all the players' GuiPlayerInfo on the current server)
field_147304_c,currentServerMaxPlayers,2,
field_147305_a,mapStorageOrigin,2,Origin of the central MapStorage serving as a public reference for WorldClient. Not used in this class
field_147306_l,avRandomizer,2,"Just an ordinary random number generator, used to randomize audio pitch of item/orb pickup and randomize both particlespawn offset and velocity"
field_147307_j,guiScreenServer,2,Seems to be either null (integrated server) or an instance of either GuiMultiplayer (when connecting to a server) or GuiScreenReamlsTOS (when connecting to MCO server)
field_147309_h,doneLoadingTerrain,2,"True if the client has finished downloading terrain and may spawn. Set upon receipt of S08PacketPlayerPosLook, reset upon respawning"
field_147310_i,playerInfoMap,2,A mapping from player names to their respective GuiPlayerInfo (specifies the clients response time to the server)
field_147332_c,logger,2,
